item_cd,item_name,category1_cd,category2_cd,category3_cd,itemnm,count,amount,f0_
4515841006549,Ｊ−ＣＲＡＦＴ　華ほの香ヴァイツェン銀河高原　３００ｍｌ　※終売,249,2491,62,銀河高原ビール Ｊ－ＣＲＡＦＴ華ほの香_爽快のヴァイツェンＩＷＡＴＥＳＡＷＡＵＣＨＩ_３００ｍｌ_瓶,9,3462,9
4516251000028,奄美大島開運酒造　黒糖焼酎　れんと２５°７２０ｍｌ,249,2505,265,奄美大島開運酒造 れんと_２５度_乙_黒糖_７２０ｍｌ,147,169450,148
4516251050016,れんと黒糖２５度パック１８００ｍｌ,249,2505,131,奄美大島開運酒造 れんと_２５度_乙_黒糖_１．８L_パック,289,562020,290
4516366002016,伊丹老松酒造　本醸造　上撰　１８００ｍｌ,249,2492,488,伊丹老松酒造 地酒_本醸造上選本醸造酒_１．８Ｌ,4,7120,4
4516366005024,伊丹老松酒造　純米酒　７２０ｍｌ,249,2492,370,伊丹老松酒造 地酒_特別純米酒_７２０ｍｌ,2,2100,2
4516366006021,伊丹老松酒造　大吟醸　７２０ｍｌ,249,2492,454,老松　大吟醸　化粧箱　７２０ｍｌ,1,3370,1
4516366007059,伊丹老松酒造　純米吟醸　伊丹郷　７２０ｍｌ,249,2492,482,伊丹老松酒造 地酒_伊丹郷純米吟醸酒_７２０ｍｌ,1,1980,1
4517207100014,越後鶴亀　純米酒７２０ｍｌ,249,2492,690,越後鶴亀 地酒_越後鶴亀純米純米酒_７２０ｍｌ,134,157860,132
4517993110310,井坂酒造場　三輪福　純米　１．８Ｌ,249,2492,387,井坂酒造場 地酒_三輪福純米酒_１．８Ｌ,2,4400,2
4517993112123,井坂酒造場　純米大吟醸　米の華　７２０ｍｌ,249,2492,385,井坂酒造場 地酒_三輪福米の花純米大吟醸酒_７２０ｍｌ,4,8762,4
4518989101008,南都酒造所　琉球ハブボール　３５０ｍｌ,249,2508,330,南都 琉球ハブボール_３５０ｍｌ_缶,136,29752,144
4518989103415,南都酒造所　琉球レモンサワー　缶　３５０ｍｌ,249,2508,189,南都 琉球レモンサワー_３５０ｍｌ_缶,1028,248022,1069
4520529029321,グローバル　ワイン＆シャンパンフレッシュ　１個,249,2495,939,ワイン＆シャンパンフレッシュ,1,1800,1
4520529046755,?,249,2495,930,,1,750,1
4520529070866,グローバル　ワインギフトバッグ　ワインＲ　１枚,249,2495,956,,9,1273,10
4520529083026,グローバル　ストッパー＆ポアラーワインＲ　１個,249,2495,932,グローバル　８３０２カラーワインストッパＷレ,4,2400,4
4520529083033,グローバル　ストッパー＆ポアラーグリーン　１個,249,2495,933,,2,1200,2
4520529084009,グローバル　ウイングコルクスクリューブルー　１個,249,2495,927,,1,980,1
4520529084214,グローバル　クタール　ＤＡソムリエナイフ　１個,249,2495,931,,2,2000,2
4521449257900,佐多宗二商店　角玉　芋　２５°７２０ｍｌ,249,2505,183,佐多宗二商店 角玉_２５度_乙_芋_７２０ｍｌ,5,5100,5
4521449257955,佐多宗二商店　晴耕雨読　芋　２５°７２０ｍｌ,249,2505,24,佐多宗二商店 晴耕雨讀_２５度_乙_芋_７２０ｍｌ,2,4560,2
4521865101337,?,249,2492,999,ﾊﾅｺﾞﾛﾓ ｹﾞﾝｼﾞﾉｷﾞﾝ ﾀﾞｲ 720ML,2,3800,2
4521865101337,花衣　源氏の吟　７２０ｍｌ,249,2492,581,ﾊﾅｺﾞﾛﾓ ｹﾞﾝｼﾞﾉｷﾞﾝ ﾀﾞｲ 720ML,2,4760,2
