item_cd_2,item_name_1,itemnm,count,amount,quantity
4901004034427,アサヒ　クリアアサヒ贅沢ゼロ５００ｍｌＸ６本,アサヒ クリアアサヒ贅沢ゼロ_５００ｍｌ×６_缶,32,29696,32
4901004034441,アサヒ　クリアアサヒ贅沢ゼロ３５０ｍｌＸ６本,アサヒ クリアアサヒ贅沢ゼロ_３５０ｍｌ×６_缶,269,186214,283
4901004034458,アサヒ　クリアアサヒ贅沢ゼロ３５０ｍｌＸ２４本,アサヒ クリアアサヒ贅沢ゼロ_３５０ｍｌ×６×４_缶,1,5264,2
4901004035301,アサヒ　ス・パ・ドライ　５００ｍｌＸ２４本,アサヒ スーパードライ_５００ｍｌ×６×４_缶,8,48096,8
4901004035400,アサヒ　ス・パ・ドライ　３５０ｍｌＸ２４本,アサヒ スーパードライ_３５０ｍｌ×６×４_缶,88,489744,112
4901004037428,アサヒ　ス・パ・ドライ　１３５ｍｌＸ６本,アサヒ スーパードライ_１３５ｍｌ×６_缶,44,26616,51
4901004039026,アサヒ　スタイルフリー　５００ｍｌ,アサヒ スタイルフリー_５００ｍｌ_缶,326,84036,447
4901004039040,アサヒ　スタイルフリー　３５０ｍｌ,アサヒ スタイルフリー_３５０ｍｌ_缶,414,84180,610
4901004039064,アサヒ　スタイルフリー　５００ｍｌＸ６本,アサヒ スタイルフリー_５００ｍｌ×６_缶,107,119658,111
4901004039088,アサヒ　スタイルフリー　３５０ｍｌＸ６本,アサヒ スタイルフリー_３５０ｍｌ×６_缶,286,239496,302
4901004039095,アサヒ　スタイルフリー　３５０ｍｌＸ２４本,アサヒ スタイルフリー_３５０ｍｌ×２４_缶,7,25776,8
4901004039675,アサヒ　グランマイルド　３５０ｍｌ,アサヒ グランマイルド_３５０ｍｌ_缶,21,4356,22
4901004039736,アサヒ　グランマイルド　３５０ｍｌＸ６本,アサヒ グランマイルド_３５０ｍｌ×６_缶,2,2316,2
4901004042132,アサヒ　クリアアサヒ　プライムリッチ　５００ｍｌ,アサヒ クリアアサヒプライムリッチ_５００ｍｌ_缶,711,141410,895
4901004042156,アサヒ　クリアアサヒ　プライムリッチ　３５０ｍｌ,アサヒ クリアアサヒプライムリッチ_３５０ｍｌ_缶,848,115668,1071
4901004042170,アサヒ　クリアアサヒ　プライムリッチ　５００ｍｌ×６本,アサヒ クリアアサヒプライムリッチ_５００ｍｌ×６_缶,90,83472,94
4901004042187,アサヒ　クリアアサヒ　プライムリッチ　５００ｍｌ×２４本,アサヒ クリアアサヒプライムリッチ_５００ｍｌ×６×４_缶,1,3552,1
4901004042194,アサヒ　クリアアサヒ　プライムリッチ　３５０ｍｌ×６本,アサヒ クリアアサヒプライムリッチ_３５０ｍｌ×６_缶,709,448500,750
4901004042217,アサヒ　クリアアサヒ　プライムリッチ　３５０ｍｌ×２４本,アサヒ クリアアサヒプライムリッチ_３５０ｍｌ×６×４_缶,17,40664,17
4901004044310,アサヒ　極上　キレ味　５００ｍｌ,アサヒ 極上＜キレ味＞_５００ｍｌ_缶,270,48822,309
4901004044334,アサヒ　極上　キレ味　３５０ｍｌ,アサヒ 極上＜キレ味＞_３５０ｍｌ_缶,563,71604,663
4901004044358,アサヒ　極上　キレ味　５００ｍｌ×６本,アサヒ 極上＜キレ味＞_５００ｍｌ×６_缶,59,51504,58
4901004044365,アサヒ　極上　キレ味　５００ｍｌ×２４本,アサヒ 極上＜キレ味＞_５００ｍｌ×６×４_缶,1,3552,1
4901004044372,アサヒ　極上　キレ味　３５０ｍｌ×６本,アサヒ 極上＜キレ味＞_３５０ｍｌ×６_缶,437,273286,457
4901004044389,アサヒ　極上　キレ味　３５０ｍｌ×２４本,アサヒ 極上＜キレ味＞_３５０ｍｌ×６×４_缶,4,9568,4
4901004045676,アサヒ　ス・パ・ドライ　瞬冷辛口　５００ｍｌ,アサヒ スーパードライ瞬冷辛口_５００ｍｌ_缶,32,9288,36
4901004045690,アサヒ　ス・パ・ドライ　瞬冷辛口　３５０ｍｌ,アサヒ スーパードライ瞬冷辛口_３５０ｍｌ_缶,76,19206,97
4901004045737,アサヒ　ス・パ・ドライ　瞬冷辛口　５００ｍｌ×６本,アサヒ スーパードライ瞬冷辛口_５００ｍｌ×６_缶,5,7740,5
4901004045751,アサヒ　ス・パ・ドライ　瞬冷辛口　３５０ｍｌ×６本,アサヒ スーパードライ瞬冷辛口_３５０ｍｌ×６_缶,21,24238,21
4901004047472,アサヒ　ゴールドラベル　５００ｍｌ,アサヒ ゴールドラベル_５００ｍｌ_缶,111,34056,132
4901004047496,アサヒ　ゴールドラベル　３５０ｍｌ,アサヒ ゴールドラベル_３５０ｍｌ_缶,328,75636,382
4901004047526,アサヒ　ゴールドラベル　５００ｍｌ×６本,アサヒ ゴールドラベル_５００ｍｌ×６_缶,13,18954,13
4901004047533,アサヒ　ゴールドラベル　５００ｍｌ×２４本,アサヒ ゴールドラベル_５００ｍｌ×２４_缶,1,5832,1
4901004047540,アサヒ　ゴールドラベル　３５０ｍｌ×６本,アサヒ ゴールドラベル_３５０ｍｌ×６_缶,98,112716,102
4901004047557,アサヒ　ゴールドラベル　３５０ｍｌ×２４本,アサヒ ゴールドラベル_３５０ｍｌ×２４_缶,6,26352,6
4901004047656,アサヒ　クリアアサヒ　秋の宴　３５０ｍｌ,アサヒ クリアアサヒ秋の宴_３５０ｍｌ_缶,65,8316,77
4901004047694,アサヒ　クリアアサヒ　秋の宴　３５０ｍｌ×６本,アサヒ クリアアサヒ秋の宴_３５０ｍｌ×６_缶,27,15876,27
4901004047731,アサヒ　クリアアサヒ　秋の宴　３５０ｍｌ×２４本,アサヒ クリアアサヒ秋の宴_３５０ｍｌ×６×４_缶,2,7056,3
4901004055507,アサヒ　ス・パ・ドライ　２５０ｍｌ×２４本,アサヒ スーパードライ_２５０ｍｌ×６×４_缶,1,3768,1
4901004063106,アサヒ　ス・パ・ドライ鮮度パック　３５０ｍｌＸ２４本,アサヒ スーパードライ_北海道工場鮮度急便_３５０ｍｌ×６×４_缶,111,531976,123
4901004063120,アサヒ　ス・パ・ドライ　鮮度パック　３５０ｍｌ×６本,アサヒ スーパードライ_北海道工場鮮度急便_３５０ｍｌ×６_缶,947,1121046,1032
4901030055069,月桂冠　特撰　７２０ｍｌ,月桂冠 ＮＢ_特撰本醸造酒_７２０ｍｌ,7,5620,7
4901030058213,月桂冠　超特撰鳳麟純米大吟醸３００ｍｌ,月桂冠 ＮＢ_超特撰鳳麟純米大吟醸酒_３００ｍｌ,4,2592,4
