jancd,makercd,itemnm,itemkn,tanka,itemkikaku,itemtani,irisu,width,height,depth,jcat1cd,jcat2cd,jcat3cd,jcat4cd,jcatnm,scat1cd,scat2cd,scat3cd,scat4cd,scat1nm,scat2nm,scat3nm,scat4nm,syubaiflg,hatdate,instime,updtime,delete_flg
2400024197836,4901411,のどごし オールライト　500ml　（新）,,0,500.0,ml,1,0,0,0,,,,,,014,041,004,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ機能系,0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
2400024197843,4901411,濃い味＜糖質０＞　500ml,,0,500.0,ml,1,0,0,0,,,,,,014,041,004,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ機能系,0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
2400024197874,4901777,こくしぼり　オレンジ,,0,350.0,ml,1,0,0,0,,,,,,014,083,002,002,飲料･酒類,RTD,柑橘系,柑橘中アル(4-7%),0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
2400024262787,4901411,のどごし スペシャルタイム　350ml　ケース,,0,8400.0,ml,24,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-09-27 00:00:00,2019-10-23 00:00:00,0
2400024297635,4901880,麦とホップ　ザ・ゴールド　350ml　（新）,,0,350.0,ml,1,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-09-27 00:00:00,2019-10-23 00:00:00,0
2400024382263,,氷結　３缶セット,,0,0.0,,0,0,0,0,,,,,,014,083,003,002,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ中アル(4-7%),0,,2017-10-11 00:00:00,2019-10-23 00:00:00,0
2400024393740,4901777,金麦　350ml　（新）,,0,350.0,ml,1,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-10-11 00:00:00,2019-10-23 00:00:00,0
2400024393825,4901004,カルピスサワー　（新）,,0,0.0,,0,0,0,0,,,,,,014,083,003,003,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ低アル(3%以下),0,,2017-10-11 00:00:00,2019-10-23 00:00:00,0
2400024393870,4901880,キレートレモンサワー,,0,0.0,,0,0,0,0,,,,,,014,083,002,002,飲料･酒類,RTD,柑橘系,柑橘中アル(4-7%),0,,2017-10-11 00:00:00,2019-10-23 00:00:00,0
2400024483489,4901880,麦とホップ　プラチナクリア　350×6缶　（新）,,0,2100.0,ml,6,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-10-11 00:00:00,2019-10-23 00:00:00,0
2400024487494,4901880,ドラフトワン　350ml　ケース,,0,8400.0,ml,24,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-10-11 00:00:00,2019-10-23 00:00:00,0
2400024496366,4901777,マイナス196℃　ストロングゼロ　ダブルオレンジ　＜期間限定＞,,0,350.0,ml,1,0,0,0,,,,,,014,083,002,001,飲料･酒類,RTD,柑橘系,柑橘高アル(8%以上),0,,2017-10-11 00:00:00,2019-10-23 00:00:00,0
2400024528470,4901777,サントリー ほろよい＜白いサワー＞_３５０ｍｌ×１０_缶,,0,3500.0,ml,10,0,0,0,,,,,,014,083,003,003,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ低アル(3%以下),0,,2017-10-11 00:00:00,2019-11-07 00:00:00,0
2400024546726,4901004,サザンスター　サマーエディション,,0,0.0,,0,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-10-11 00:00:00,2019-10-23 00:00:00,0
2400024554448,4901777,京の贅沢　500ml,,0,500.0,ml,1,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-10-11 00:00:00,2019-10-23 00:00:00,0
2400024554486,4901777,金麦　350ml　（新）,,0,350.0,ml,1,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-10-11 00:00:00,2019-10-23 00:00:00,0
